序号,名称,B站动漫社UID,B站相应账号名称,是否有术力口社团,B站术力口社团UID,名称
113,华南理工大学广州学院,20933776,DPCCA梦想天堂动漫协会,否,,
114,鲁东大学,20933996,鲁东澪幻空间动漫社,否,,
115,广东岭南职业技术学院,20937804,清远岭南夜樱漫社,否,,
116,广东科学技术职业学院,20938998,广科彩翼动漫协会,否,,
117,青岛滨海学院,20940455,青岛D动漫,否,,
118,武汉大学,20942465,武汉大学动漫协会,否,,
119,哈尔滨商业大学,20945905,哈商大漫影部落,否,,
120,芜湖职业技术学院,20959391,倾城动漫社,否,,
121,太原理工大学,20959748,水月动漫协会,否,,
122,烟台科技学院,20960073,百夜动漫,否,,
123,广州大学,20961537,原色映像动漫协会,否,,
124,浙江理工大学,20963281,99度动漫社,否,,
125,成都理工大学,20966774,CG动漫协会,否,,
126,绍兴文理学院,20969542,苍炎动漫社,否,,
127,北京科技大学,20983525,贝壳动漫社,否,,
128,中国石油大学（华东）,20984587,火鸟动漫社,否,,
129,浙江传媒学院,20984627,那兰之侯动漫社,否,,
130,中华女子学院,20987246,水精动漫社,否,,
131,中国医科大学,20989567,CMU翎动漫社,否,,
132,武汉城市职业学院,21002694,武城职柯美动漫社,否,,
133,西南大学,21018392,西南大学风翼动漫社,否,,
134,广西财经大学,21033029,财院零漫社-已转生,否,,
135,华南师范大学,21096382,华师白樱动漫社,否,,
136,北京理工大学,21319093,北理珠镜之映画馆漫社,否,,
137,湖南大学,21337208,动漫能源社,否,,
138,广东交通职业技术学院,21377465,翼翎动漫社,否,,
139,北京信息科技大学,21461249,北信科紫枫堂动漫社,否,,
140,宁波大学,21668966,浩天动漫社,否,,
141,华北电力大学（保定）,23307206,CWing动漫社,否,,
142,上海大学,26965329,库利亚clear_,否,,
143,北京第二外国语学院,28030834,北二外未成年动漫社,否,,
144,重庆大学,28418281,重庆大学翼遥动漫社,否,,
145,中央民族大学,29650473,中央民大一个漫画社,否,,
146,西安电子科技大学,30032438,西电Shining动漫社,未定,1671034042,西安高校vocaloid创作社
147,成都大学,30709792,嘤鸣漫联,否,,
148,山东建筑大学,31316701,迪兰动漫社,否,,
149,湖北大学知行学院,31376221,湖北大学知行学院Mars动漫社,否,,
150,福建师范大学,32134472,Cfour动漫社,否,,
151,华中师范大学,32253960,华师三叶草动漫社,否,,
152,井冈山大学,32654460,FZ动漫社,否,,
153,对外经济贸易大学,32664899,UIBE灼艺动漫社,否,,
154,甘肃农业大学,32961190,翔翼动漫社,否,,
155,河南郑州西亚斯学院,34727549,Mad-House动漫社,否,,
156,广东机电职业技术学院,34784943,广东机电BG2动漫协会,否,,
157,中国科学院大学,34816534,果壳AVALON漫研社,否,,
158,山东农业大学,35781639,唐人部落动漫社,否,,
159,山西传媒学院,36024742,山传未完成动漫社,否,,
160,杭州职业技术学院,40221994,杭职Phoenix动漫协会,否,,
161,华北水利水电大学,41383354,北幽动漫社,否,,
162,上海第二工业大学,44129046,二工大现视研动漫社,否,,
163,揭阳华侨高级中学,45029058,超和平Busters动漫社,否,,
164,江苏师范大学,46895995,UP动漫社,否,,
165,西华大学,47694536,V攻攻攻攻公馆,否,,
166,上海交通大学,48665946,浮泽动漫协会,否,,
167,桂林电子科技大学,49468851,桂电异域动漫社,否,,
168,湘潭大学,49592879,湘大云中馆动漫协会,否,,
169,首都师范大学,49965619,春日诸白动漫社,否,,
170,南京信息工程大学,50133995,天燃动漫社,否,,
171,广西民族师范学院,51224020,次元动漫协会wow,否,,
172,中国计量大学,53267996,婳羽动漫社,否,,
173,武汉职业技术学院,55252149,无月动漫社,否,,
174,同济大学,56307177,同济万有引力动漫协会,否,,
175,北京中医药大学,56778824,北中医黑爻动漫社,否,,
176,成都锦城学院,57556159,LD动漫社官方账号,否,,
177,洛阳师范学院,65489375,黑元素动漫社,否,,
178,首都师范大学,65752704,静海动漫社,否,,
179,广东财经大学,65996167,广财大FF火翎动漫协会,否,,
180,海南大学,66413141,海南大学风飏动漫社,否,,
181,四川农业大学,68007049,川农梦之屿动漫协会,否,,
182,上海财经大学浙江学院,68579988,绘樱公馆,否,,
183,西南石油大学,70740277,西南石油现视研动漫社,否,,
184,汉口学院,72249059,风月动漫社,否,,
185,合肥财经职业学院,73150881,风向标动漫协会,否,,
186,浙江财经大学,73166685,浙财东方亦乱娘,否,,
187,哈尔滨工程大学,76773888,哈工程漫画沙龙动漫社,否,,
188,北京服装学院,83507546,破立漫画社,否,,
189,兰州工业学院,84410863,961动漫社Official,否,,
190,山东大学,88447718,世伊漫协,否,,
191,厦门大学,92711751,厦大翔安静迹动漫社,否,,
192,成都中医药大学,103271126,成中医X次元动漫社,否,,
193,哈尔滨工业大学（深圳）,107505047,雪璇二次元文化社,否,,
194,北京邮电大学,108070710,檐枫动漫社,是,3546723079162187,枫韵社
195,陕西师范大学,110515726,炫梦动漫社,否,,
196,西北工业大学,110745542,荆棘鸟_Official,否,,
197,广东第二师范学院,111875840,GS超元气动漫协会,否,,
198,桂林旅游学院,114284140,狂热动漫社,否,,
199,武汉工程大学,117413714,bcj动漫社,否,,
200,江苏理工学院,121437070,二重幻想界动漫社,否,,
201,南京农业大学,122371925,方糖娘,否,,
202,北京化工大学,122468877,微水动漫社,否,,
203,北京航空航天大学,124678469,北航飞梦ACG联盟,是,6287401,星韵社
204,福建龙岩北大附属实验学校,125248144,龙岩北附Hira动漫社,否,,
205,南京科技职业学院,128437086,暮光-动漫社,否,,
206,四川音乐学院,129248337,C加动漫社,否,,
207,河源职业技术学院,133720253,朝之雾动漫社,否,,
208,中国地质大学（武汉）,134878347,茶几动漫社,否,,
209,黄河科技学院,153457541,关键帧动漫社,否,,
210,山东师范大学,155992909,山师集英动漫社,否,,
211,中国矿业大学,164641256,矿大漫次研究所,否,,
212,华南理工大学,171966979,华工ZACA娘_Official,否,,
213,山西工程技术学院,174429337,动漫爱好聚集地,否,,
214,长沙理工大学,192147578,意识流动漫社,否,,
215,南京航空航天大学,193190650,南航流火学生动漫社,否,,
216,中国海洋大学,206069934,蔓延动漫社,否,,
217,重庆邮电大学,209668428,重邮NF动漫协会,否,,
218,延边大学,209707526,零壹动漫协会,否,,
219,北京物资学院,211054671,零漫动漫社,否,,
220,佛山大学,211156857,佛大Bunnya动漫社,否,,
221,华北电力大学（北京）,211778073,SAYing动漫社,否,,
222,长江大学,213261136,长江大学JY动漫社,否,,
